REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 113,15;R$ 9,24;8,17%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 226,24;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 118,62;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;RICOTA VALE MILK 200G;R$ 255,56;R$ 5,24;2,05%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;153;SUPER PORTUGAL - BRAGANCA;GRANJA PORTUGAL;FORTALEZA;C;-3.7807845;-38.5966783;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 76,11;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;153;SUPER PORTUGAL - BRAGANCA;GRANJA PORTUGAL;FORTALEZA;C;-3.7807845;-38.5966783;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 318,57;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;153;SUPER PORTUGAL - BRAGANCA;GRANJA PORTUGAL;FORTALEZA;C;-3.7807845;-38.5966783;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 175,95;R$ 0,00;0,00%
REDE PARCERIA;SUPER PORTUGAL;SUBREDE;153;SUPER PORTUGAL - BRAGANCA;GRANJA PORTUGAL;FORTALEZA;C;-3.7807845;-38.5966783;RICOTA VALE MILK 200G;R$ 165,30;R$ 1,28;0,77%
SUPER LAGOA;-;REDE;162;SUPER LAGOA - CD;PASSARE;FORTALEZA;C;-3.81528198;-38.55661271;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 7.004,72;R$ 3.975,73;56,76%
SUPER LAGOA;-;REDE;162;SUPER LAGOA - CD;PASSARE;FORTALEZA;C;-3.81528198;-38.55661271;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 6.341,68;R$ 3.366,98;53,09%
SUPER LAGOA;-;REDE;162;SUPER LAGOA - CD;PASSARE;FORTALEZA;C;-3.81528198;-38.55661271;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 6.972,76;R$ 3.516,17;50,43%
