REDE;SUBREDE;TIPO;CODIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUCAO;% DEV;TROCA;% TROCA
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA  BANDEJA MORANGO VALEMILK 540G;R$ 280,00;R$ 96,00;34,29%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA BANDEJA MOR/SF VALEMILK 540G;R$ 200,00;R$ 64,00;32,00%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA BANDEJA MORANGO DIPAULA 510G;R$ 532,00;R$ 482,50;90,70%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE AMEIXA VALE MILK 900G;R$ 310,80;R$ 3,70;1,19%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE GOIABA VALE MILK 900G;R$ 177,60;R$ 3,70;2,08%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE GRAVIOLA VALE MILK 900G;R$ 222,00;R$ 0,00;0,00%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO DIPAULA 900G;R$ 1.142,40;R$ 78,40;6,86%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO VALE MILK 450G;R$ 0,00;R$ 0,00;0,00%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE MORANGO VALE MILK 900G;R$ 310,80;R$ 0,00;0,00%;R$ 0,00;0,00%
REDE PARCERIA;COMPRE MAX;SUBREDE;151;COMPREMAX - MISTER HULL;ANTONIO BEZERRA;FORTALEZA;B;-3.7392121;-38.5924565;BEBIDA LACTEA DE SALADA DE FRUTA VALE MILK 450G;R$ 0,00;R$ 0,00;0,00%;R$ 0,00;0,00%
